2020-11-03 17:29:49,824 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:29:49,824 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_MNGR\src\main\resources
2020-11-03 17:29:49,825 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:29:49,826 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_MNGR\src\test\resources
2020-11-03 17:29:55,129 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2020-11-03 17:29:55,879 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: kr.co.itgood:cubecms:3.0.7 @ D:\CUBE307\work2\jungleon\SNIP_MNGR\pom.xml.
2020-11-03 17:29:56,257 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:29:56,310 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:29:57,271 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:29:57,358 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:29:58,833 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SNIP_MNGR/src/main/java
2020-11-03 17:29:58,844 [Worker-19] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SNIP_MNGR/src/test/java
2020-11-03 17:29:59,741 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:29:59,828 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:30:20,213 [Worker-19] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for SNIP_MNGR
2020-11-03 17:30:20,232 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 25 sec
2020-11-03 17:30:30,663 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for cubrid:cubrid-jdbc:jar:8.4.1.2032 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:30:30,721 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for net.sf.ehcache:ehcache-terracotta:jar:2.1.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2020-11-03 17:30:31,340 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:30:31,340 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_MNGR\src\main\resources
2020-11-03 17:30:31,341 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:30:31,341 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_MNGR\src\test\resources
2020-11-03 17:30:31,341 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SNIP_MNGR
2020-11-03 17:30:31,341 [Worker-28] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SNIP_MNGR
2020-11-03 17:30:31,346 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:30:48,203 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:30:48,203 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\main\resources
2020-11-03 17:30:48,204 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:30:48,205 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\test\resources
2020-11-03 17:31:02,999 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:31:02,999 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_MNGR\src\main\resources
2020-11-03 17:31:02,999 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:31:03,000 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_MNGR\src\test\resources
2020-11-03 17:31:19,841 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:31:19,842 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\main\resources
2020-11-03 17:31:19,843 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:31:19,843 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\test\resources
2020-11-03 17:31:34,105 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:31:34,105 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\main\resources
2020-11-03 17:31:34,106 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:31:34,106 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\test\resources
2020-11-03 17:31:44,790 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:31:44,791 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\main\resources
2020-11-03 17:31:44,792 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2020-11-03 17:31:44,792 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\CUBE307\work2\jungleon\SNIP_USR\src\test\resources
2020-11-03 17:31:59,723 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
